show_id,genre_id
81034763,3
81044300,1
81010962,8
80094258,3
81049811,6
80214523,6
80216779,13
80201500,20
81049774,1
80182123,11
81045349,1
81060040,17
81005266,17
80145143,6
80239798,1
81063743,4
81071666,9
80219974,8
81037273,2
60022998,3
80205595,1
81063028,9
60003378,4
81063160,9
70132722,10
81059779,20
81045891,3
81059656,2
81001413,14
80080618,4
81059603,20
80994282,2
80220013,2
81059643,20
80065492,14
70304718,5
81050118,5
81048914,10
81048916,10
70252973,5
81048910,8
81017061,5
80997225,6
80220228,17
81059663,20
70101697,8
81063091,20
80106984,4
80211627,12
81041414,6
80990612,11
81059684,20
81059816,20
81063049,20
80104316,3
70180088,5
80178897,9
80992963,9
80208661,17
81063480,3
81035127,10
80199689,4
81063084,2
81059649,2
81059856,20
81059812,14
81047683,4
81034697,6
81049950,3
81047677,10
80188596,3
80189656,5
81016360,2
70307659,3
81035398,4
70113347,4
80097389,3
80221639,10
70099120,3
81024718,4
80220813,8
81048561,4
80237903,13
81026705,4
80244929,9
80122209,4
80998786,2
81047898,4
81057249,4
81047900,4
81047899,4
81047901,4
80189619,1
80008434,23
60024962,2
81031181,4
80239629,17
80145141,20
80030346,1
80991879,6
80180171,1
80152118,1
81023638,3
80223052,8
81020577,1
80226612,6
80233925,10
81021098,4
81026192,6
70109891,10
81026986,6
80045818,2
80207371,8
81035279,2
80017537,12
80134721,4
81041182,3
81038575,9
80117498,6
81020612,1
81038976,2
80988257,2
81023713,4
81038583,9
80213025,20
80144442,9
81050192,4
70141971,8
81000864,2
81047445,4
81052265,3
81045085,3
81050190,31
81045065,22
70205712,26
80028965,6
81020716,1
81050191,15
80202078,8
81047446,17
81000511,8
80218104,13
80997719,2
81044856,17
81044857,17
81009823,2
81020668,1
70291114,17
81044299,4
70113534,4
70065107,4
80990532,17
80158104,6
81036539,3
80210995,1
80117485,28
81033895,12
70301529,20
80191048,2
80197526,20
80153272,1
80245041,4
80202273,3
70288470,5
70202600,16
81021294,1
80198623,8
81062853,3
80220814,8
81046962,8
80150242,17
1193180,2
81005561,2
81048548,4
81045052,3
81037970,4
81037984,8
81037986,4
81037985,3
80153895,17
70026431,17
80020885,4
80133187,9
80998427,4
80133335,1
80090370,11
81000860,4
81030789,3
81020635,1
80220085,8
80244855,2
81020692,1
771476,8
70209245,4
80050008,5
70045863,4
70045866,4
80999981,3
60022056,8
80016588,8
70011207,10
81008236,27
60027689,10
80239710,31
80177342,6
80108616,4
70084799,8
60010487,8
60011649,8
60010488,8
60004476,3
70299748,4
80214621,2
80245709,3
70117299,4
16944044,8
81045060,4
60031284,4
70256512,13
70058019,15
81046846,21
880640,18
81052279,22
81052277,4
60026139,8
70101375,4
408911,8
80226864,1
80195885,4
80209379,7
70307648,4
70174741,13
60023619,8
70023960,8
81045989,13
81045990,2
70059483,13
80108207,13
70043231,13
81020868,9
81029634,7
81045515,13
81045517,13
81032812,7
80232095,2
60004393,13
70026468,13
81045512,13
81045513,2
81034612,3
81029647,7
81026251,32
81031650,2
81006261,8
81045509,13
81045510,13
70298389,32
81045530,32
81045511,13
70266169,13
81029570,7
80220761,2
80087891,4
81030762,29
80022613,17
81036061,6
80036407,16
80185375,4
80097519,2
80988062,4
80240277,6
81024730,8
80217475,6
80151663,2
81024717,4
80194558,1
80995577,2
80244708,4
81029400,4
80174285,5
80013773,8
80098103,4
80211991,6
70304979,9
80219127,8
80052828,4
80997338,11
80210736,27
80092801,16
81020728,1
70296346,6
80153226,11
80171023,3
80107989,20
80990464,11
81039096,6
80989338,8
80131551,4
80125291,20
81032874,1
80207124,9
80999643,3
80196789,4
80172145,1
80140955,16
81032872,1
80221272,11
81032873,1
81032867,1
80200596,6
80997339,11
80109551,2
81020973,3
81019341,4
81007175,1
81001097,24
70270949,17
81008536,14
80040119,11
80040330,11
81036532,8
81036535,22
81036533,4
81018239,4
80166467,27
80218939,8
81045765,4
81018634,10
80039602,8
81000861,2
81039381,3
81026363,1
80026431,10
70221348,5
80013772,4
80013474,3
70184051,4
80232329,32
80000644,4
80998331,1
80105030,20
81026453,7
81025946,10
81040405,20
81026475,7
81036745,22
81026478,7
81034632,2
81034633,2
81034634,2
81034635,2
80988832,2
81004164,1
